spacing_angstrom,atom_i,atom_j,atom_i_symbol,atom_j_symbol,distance_angstrom
5.4,0,32,C,C,5.963690282690405
5.4,0,33,C,N,5.742143803707557
5.4,1,28,C,C,5.963693686753751
5.4,1,29,C,N,5.742157234594974
5.4,2,27,C,C,5.979036539165115
5.4,2,28,C,C,5.543849865884771
5.4,2,29,C,N,5.442572546657881
5.4,3,26,C,C,5.711748775992443
5.4,3,27,C,C,5.535937812253692
5.4,3,28,C,C,5.444937529091177
5.4,3,29,C,N,5.641310882226392
5.4,3,30,C,C,5.962485667559483
5.4,3,32,C,C,5.808086668337138
5.4,4,26,C,C,5.787524648869473
5.4,4,27,C,C,5.446411329454079
5.4,4,28,C,C,5.534178834606542
5.4,4,29,C,N,5.864568220159124
5.4,4,30,C,C,5.534167392174481
5.4,4,31,C,N,5.8645594316065495
5.4,5,24,C,C,5.808083022874739
5.4,5,26,C,C,5.711756460276128
5.4,5,27,C,C,5.53594571578
5.4,5,28,C,C,5.962507770815173
5.4,5,30,C,C,5.444936473985763
5.4,5,31,C,N,5.641307671552558
5.4,6,27,C,C,5.979050517222268
5.4,6,30,C,C,5.5438605040378315
5.4,6,31,C,N,5.4425737000798
5.4,7,30,C,C,5.96371151616731
5.4,7,31,C,N,5.742163065656693
5.4,8,24,C,C,5.963716441490971
5.4,8,25,C,N,5.742151827983822
5.4,9,24,C,C,5.543865564702548
5.4,9,25,C,N,5.442567044995859
5.4,9,26,C,C,5.9790547579910065
5.4,10,24,C,C,5.444928908490565
5.4,10,25,C,N,5.64130150936632
5.4,10,26,C,C,5.535946632690634
5.4,10,27,C,C,5.7117669714694195
5.4,10,30,C,C,5.80810511640785
5.4,10,32,C,C,5.962497869320951
5.4,11,24,C,C,5.534162137547686
5.4,11,25,C,N,5.864560199256266
5.4,11,26,C,C,5.446417818852762
5.4,11,27,C,C,5.787540404102235
5.4,11,32,C,C,5.534177099775373
5.4,11,33,C,N,5.864566669639339
5.4,12,24,C,C,5.962469010902998
5.4,12,26,C,C,5.535939105815614
5.4,12,27,C,C,5.711759613804232
5.4,12,28,C,C,5.808108691857768
5.4,12,32,C,C,5.444930581405165
5.4,12,33,C,N,5.641302467437339
5.4,13,26,C,C,5.979042173946418
5.4,13,32,C,C,5.543852076950197
5.4,13,33,C,N,5.4425658288793395
5.4,14,33,H,N,5.955874480742564
5.4,15,29,H,N,5.955884212294251
5.4,16,28,H,C,5.646100068212328
5.4,16,29,H,N,5.426112789161672
5.4,17,27,H,C,5.689922893275007
5.4,17,28,H,C,5.634936620628088
5.4,17,29,H,N,5.8483492216783795
5.4,17,30,H,C,5.634927072892838
5.4,17,31,H,N,5.848340066844275
5.4,18,30,H,C,5.646111204005854
5.4,18,31,H,N,5.426112605167245
5.4,19,31,H,N,5.955894886575488
5.4,20,25,H,N,5.955881806598808
5.4,21,24,H,C,5.646128433964006
5.4,21,25,H,N,5.42611117258503
5.4,22,24,H,C,5.634934339366144
5.4,22,25,H,N,5.848346325073519
5.4,22,26,H,C,5.689938054644875
5.4,22,32,H,C,5.634947088394774
5.4,22,33,H,N,5.848355364858561
5.4,23,32,H,C,5.646113349494147
5.4,23,33,H,N,5.426112831846885
5.5,0,33,C,N,5.836284198728454
5.5,1,29,C,N,5.836297646121361
5.5,2,28,C,C,5.641300427220137
5.5,2,29,C,N,5.54180445865576
