adapter_radius_angstrom,case,spacing_angstrom,cross_fragment_edges,energy_ev,electrostatic_energy_ev,first_region_charge_e
6.0,total_charge,5.0,224,-26859.956509268806,-2.0124365366064247,0.024431018992189135
6.0,total_charge,5.2,164,-26859.927488104222,-2.005284616175475,0.02143751125988559
6.0,total_charge,5.4,156,-26859.89847727121,-1.9932699976802999,0.017167684371441033
6.0,total_charge,5.5,124,-26859.88606923098,-1.9866681134446205,0.015091869543232272
6.0,total_charge,5.6,108,-26859.879526014014,-1.9846212896706605,0.013605425692299486
6.0,total_charge,5.8,52,-26859.871765354565,-1.9811432374914404,0.012691594646488016
6.0,total_charge,6.0,0,-26859.869001695006,-1.9779371966869435,0.012678579675332313
6.0,total_charge,6.2,0,-26859.867543198274,-1.976478699953312,0.01267857967533205
6.0,neutral_regional,5.0,224,-26859.94693597452,-1.9761853889992065,2.7755575615628914e-17
6.0,neutral_regional,5.2,164,-26859.918102185457,-1.9729747769231827,2.7755575615628914e-17
6.0,neutral_regional,5.4,156,-26859.888006412388,-1.9669939060628123,-6.938893903907228e-17
6.0,neutral_regional,5.5,124,-26859.87266694209,-1.9634742285906344,2.7755575615628914e-17
6.0,neutral_regional,5.6,108,-26859.86147295066,-1.9636809851958261,-1.3877787807814457e-16
6.0,neutral_regional,5.8,52,-26859.84775495348,-1.9615546445423926,-6.938893903907228e-17
6.0,neutral_regional,6.0,0,-26859.844131293474,-1.9582636143251795,4.163336342344337e-17
6.0,neutral_regional,6.2,0,-26859.842557430893,-1.9566897517434017,1.249000902703301e-16
6.0,ionic_regional,5.0,224,-26857.90541751832,-1.1443014988002354,1.0000000000000002
6.0,ionic_regional,5.2,164,-26857.853335184078,-1.095036132830275,1.0
6.0,ionic_regional,5.4,156,-26857.92532767924,-1.042430057818792,1.0
6.0,ionic_regional,5.5,124,-26858.153658676143,-1.0112011369409561,1.0
6.0,ionic_regional,5.6,108,-26858.549356637806,-0.9817343015191599,0.9999999999999998
6.0,ionic_regional,5.8,52,-26859.04502442774,-0.9271051641691613,1.0
6.0,ionic_regional,6.0,0,-26859.059345008696,-0.8800367964546936,1.0
6.0,ionic_regional,6.2,0,-26859.01714422757,-0.8378360153270294,1.0
6.5,total_charge,5.0,320,-26859.956509268806,-2.012436536606426,0.024431018992189274
6.5,total_charge,5.2,280,-26859.927488104222,-2.0052846161754747,0.02143751125988548
6.5,total_charge,5.4,240,-26859.89847727121,-1.9932699976803006,0.017167684371441283
6.5,total_charge,5.5,240,-26859.88606923098,-1.9866681134446214,0.015091869543232134
6.5,total_charge,5.6,224,-26859.879526014014,-1.9846212896706605,0.013605425692299347
6.5,total_charge,5.8,164,-26859.871765354565,-1.9811432374914393,0.01269159464648778
6.5,total_charge,6.0,124,-26859.869001695006,-1.9779371966869435,0.012678579675332036
6.5,total_charge,6.2,88,-26859.867543198274,-1.976478699953312,0.012678579675332036
6.5,neutral_regional,5.0,320,-26859.94693597452,-1.9761853889992074,-1.249000902703301e-16
6.5,neutral_regional,5.2,280,-26859.918102185457,-1.9729747769231822,-1.1102230246251565e-16
6.5,neutral_regional,5.4,240,-26859.888006412388,-1.9669939060628117,-6.938893903907228e-17
6.5,neutral_regional,5.5,240,-26859.87266694209,-1.9634742285906353,-4.163336342344337e-17
6.5,neutral_regional,5.6,224,-26859.86147295066,-1.9636809851958261,-2.498001805406602e-16
6.5,neutral_regional,5.8,164,-26859.84775495348,-1.9615546445423917,6.938893903907228e-17
6.5,neutral_regional,6.0,124,-26859.844131293474,-1.958263614325179,-3.3306690738754696e-16
6.5,neutral_regional,6.2,88,-26859.842557430893,-1.9566897517434008,-3.3306690738754696e-16
6.5,ionic_regional,5.0,320,-26857.90541751832,-1.1443014988002362,1.0
6.5,ionic_regional,5.2,280,-26857.853335184078,-1.0950361328302745,1.0
