spacing_angstrom,unconstrained_energy_ev,constrained_energy_ev,ionic_constrained_energy_ev,unconstrained_electrostatic_energy_ev,constrained_electrostatic_energy_ev,ionic_constrained_electrostatic_energy_ev,unconstrained_first_region_charge_e,unconstrained_second_region_charge_e,constrained_first_region_charge_e,constrained_second_region_charge_e,ionic_constrained_first_region_charge_e,ionic_constrained_second_region_charge_e,electronic_coupling_ev,u1_energy_ev,d3_dispersion_energy_ev,unconstrained_energy_plus_d3_ev,constrained_energy_plus_d3_ev,ionic_constrained_energy_plus_d3_ev,u1_energy_plus_d3_ev
2.5,-26858.7949513119,-26858.654575086333,-26858.251447990424,-2.063891662068222,-1.8800081460730178,-1.7697354124900375,0.21940136671230331,-0.21940136671230354,-1.249000902703301e-16,-5.551115123125783e-17,0.9999999999999999,-1.0,0.27621539575231446,-26858.11107176486,-0.51471346616745,-26859.309664778066,-26859.1692885525,-26858.76616145659,-26858.625785231026
2.6,-26859.379423769362,-26859.256349129504,-26858.755001847374,-2.074141714296842,-1.9009548597396677,-1.7499624947884858,0.1979818028112605,-0.19798180281126052,4.163336342344337e-17,-1.1102230246251565e-16,0.9999999999999999,-1.0,0.27721923304126367,-26858.631927207516,-0.5091813206672668,-26859.88860509003,-26859.76553045017,-26859.26418316804,-26859.141108528183
2.7,-26859.784062278348,-26859.67797837421,-26859.073099924826,-2.081276581315799,-1.9191244751061673,-1.7302982534795779,0.17732995373421867,-0.17732995373421861,1.249000902703301e-16,-1.1102230246251565e-16,1.0,-1.0,0.27463004598362556,-26858.967016020688,-0.5032729506492615,-26860.287335228997,-26860.18125132486,-26859.576372875475,-26859.470288971337
2.8,-26860.05363224931,-26859.963288563024,-26859.252560755747,-2.0855357328007167,-1.934418153062506,-1.710166102162343,0.1581794552720302,-0.15817945527203,2.7755575615628914e-17,5.551115123125783e-17,1.0,-1.0,0.2690199838438926,-26859.16221706946,-0.49705666303634644,-26860.550688912346,-26860.46034522606,-26859.749617418784,-26859.659273732497
2.9,-26860.223378583905,-26860.14718553615,-26859.32990984229,-2.086280253516285,-1.9460256885334093,-1.6882859304198878,0.14074714607116948,-0.14074714607116953,1.3877787807814457e-16,2.7755575615628914e-17,1.0,-1.0,0.2609139829500046,-26859.253716794534,-0.49061059951782227,-26860.713989183423,-26860.637796135667,-26859.82052044181,-26859.74432739405
3.0,-26860.321696891406,-26860.25785516129,-26859.3354307526,-2.08374110779288,-1.9540609254488284,-1.664431064003354,0.12503253307069823,-0.12503253307069817,-4.163336342344337e-17,-5.551115123125783e-17,1.0,-1.0,0.25092815038646454,-26859.27158902248,-0.4840224087238312,-26860.80571930013,-26860.741877570013,-26859.819453161323,-26859.755611431203
3.1,-26860.370848861257,-26860.31744870335,-26859.293789086914,-2.0786015761048797,-1.9591224582581122,-1.638763555553533,0.11096473513665368,-0.11096473513665372,5.551115123125783e-17,5.551115123125783e-17,1.0,-1.0,0.2398231890901567,-26859.240388929007,-0.4773866534233093,-26860.84823551468,-26860.794835356774,-26859.771175740338,-26859.71777558243
3.2,-26860.387003895292,-26860.342278254626,-26859.222268392306,-2.0720224283085193,-1.962228573035055,-1.6118831189500304,0.09851164832051272,-0.09851164832051279,4.163336342344337e-17,5.551115123125783e-17,1.0,-1.0,0.22824009634036865,-26859.17754275164,-0.47079992294311523,-26860.857803818235,-26860.81307817757,-26859.69306831525,-26859.648342674584
3.3,-26860.3816470904,-26860.34390054001,-26859.134029302597,-2.0652638493777022,-1.964376672430249,-1.5843242021411994,0.08775055573172545,-0.08775055573172544,1.3877787807814457e-16,-5.551115123125783e-17,1.0,-1.0,0.21700983316931352,-26859.09628275221,-0.46435508131980896,-26860.84600217172,-26860.80825562133,-26859.598384383917,-26859.56063783353
3.4,-26860.362893171954,-26860.330663578923,-26859.037869188654,-2.0590323993989004,-1.9661262309208845,-1.5564110706072833,0.0786077971990497,-0.07860779719904948,-2.7755575615628914e-17,5.551115123125783e-17,0.9999999999999998,-1.0,0.20665184184510282,-26859.005639595624,-0.4581361711025238,-26860.821029343057,-26860.788799750026,-26859.496005359757,-26859.463775766726
3.5,-26860.335812137353,-26860.30797520325,-26858.93859602121,-2.0531776444772754,-1.9674457942075485,-1.5280349580552517,0.07077462125876594,-0.07077462125876574,-5.551115123125783e-17,-5.551115123125783e-17,1.0,-1.0,0.19721615794069772,-26858.910759087106,-0.4522133767604828,-26860.788025514114,-26860.76018858001,-26859.39080939797,-26859.362972463867
3.6,-26860.30346175512,-26860.27924567325,-26858.83778767142,-2.047513616928296,-1.9683141311112289,-1.4993617281405716,0.06394278853146926,-0.06394278853146934,-5.551115123125783e-17,0.0,0.9999999999999999,-1.0,0.18839555092058555,-26858.813571589548,-0.44664064049720764,-26860.750102395617,-26860.725886313747,-26859.284428311916,-26859.260212230045
3.7,-26860.268648477184,-26860.247508125252,-26858.73683781657,-2.0424654399299706,-1.9691965606047752,-1.4711891360722158,0.05795754213308803,-0.057957542133088125,-4.163336342344337e-17,-2.7755575615628914e-17,1.0,-1.0,0.1799528173101254,-26858.715697464635,-0.44145452976226807,-26860.710103006946,-26860.688962655015,-26859.178292346332,-26859.157151994397
3.8,-26860.233511180613,-26860.214812788683,-26858.64118315133,-2.0375603041593338,-1.9697206798078992,-1.4429946253520642,0.05266510521251325,-0.052665105212513164,-5.551115123125783e-17,2.7755575615628914e-17,1.0,-1.0,0.17255136502807503,-26858.6224847594,-0.4366750717163086,-26860.67018625233,-26860.6514878604,-26859.077858223045,-26859.059159831115
3.9,-26860.199349058963,-26860.182484907164,-26858.553098083514,-2.032965796197828,-1.9698834719326586,-1.4147975110517144,0.04814543755121585,-0.04814543755121575,-2.7755575615628914e-17,5.551115123125783e-17,1.0000000000000002,-1.0,0.16662120618293533,-26858.536233931714,-0.4323071241378784,-26860.6316561831,-26860.6147920313,-26858.98540520765,-26858.968541055852
4.0,-26860.166970682352,-26860.151487817853,-26858.47178603642,-2.0290844046201157,-1.9699840430709286,-1.3869791225829666,0.04442026244135833,-0.04442026244135827,8.326672684688674e-17,1.1102230246251565e-16,1.0,-1.0,0.16200714235438834,-26858.456303171923,-0.4283437430858612,-26860.595314425438,-26860.57983156094,-26858.900129779508,-26858.88464691501
4.1,-26860.13679154974,-26860.12237060828,-26858.397114235628,-2.0255808255199206,-1.9699347882246157,-1.3594271265073519,0.04124224252092354,-0.0412422425209234,2.0816681711721685e-16,1.1102230246251565e-16,1.0000000000000004,-0.9999999999999999,0.1583912393665705,-26858.382693294167,-0.4247688353061676,-26860.561560385046,-26860.547139443584,-26858.821883070934,-26858.807462129473
4.2,-26860.10955622951,-26860.09591191476,-26858.330707286495,-2.0220896068906895,-1.9695159681927843,-1.3318748016268604,0.03846589015175264,-0.0384658901517525,-8.326672684688674e-17,2.7755575615628914e-17,1.0000000000000002,-1.0,0.1557920885992207,-26858.31706297175,-0.4215596914291382,-26860.531115920938,-26860.51747160619,-26858.752266977925,-26858.73862266318
4.3,-26860.084731271923,-26860.071703830494,-26858.269479512765,-2.0186059089524626,-1.9686983522705774,-1.3044819480603274,0.03608109158246206,-0.03608109158246206,9.71445146547012e-17,1.1102230246251565e-16,1.0,-1.0,0.15377934182585754,-26858.256452071335,-0.418690025806427,-26860.50342129773,-26860.4903938563,-26858.68816953857,-26858.67514209714
4.4,-26860.06214679491,-26860.049674135746,-26858.21052040824,-2.0162642196260836,-1.968574147236468,-1.2785469568363768,0.03409460199499505,-0.0340946019949952,1.3877787807814457e-17,-1.6653345369377348e-16,1.0,-1.0,0.15196942067344074,-26858.198047749072,-0.41613146662712097,-26860.478278261537,-26860.465805602373,-26858.626651874867,-26858.6141792157
4.5,-26860.041495028767,-26860.029730253696,-26858.151557626952,-2.0145032101085043,-1.969278791095792,-1.2543711204416632,0.03196633221303283,-0.031966332213032855,2.7755575615628914e-17,0.0,1.0000000000000002,-0.9999999999999998,0.1491130055674509,-26858.139792851885,-0.4138551950454712,-26860.455350223812,-26860.443585448742,-26858.565412821998,-26858.55364804693
4.6,-26860.021958503236,-26860.010843675176,-26858.093160962104,-2.0137185410590748,-1.970555420276487,-1.2314769307177214,0.030185799530550714,-0.030185799530550728,4.163336342344337e-17,-5.551115123125783e-17,1.0,-0.9999999999999998,0.1464180761757214,-26858.082046134045,-0.411833256483078,-26860.43379175972,-26860.42267693166,-26858.504994218587,-26858.493879390528
4.7,-26860.00364667957,-26859.992882131624,-26858.042159703607,-2.013741794454825,-1.9720717388067934,-1.2093059243894166,0.028862165366761852,-0.028862165366762005,4.163336342344337e-17,0.0,0.9999999999999999,-1.0,0.14530836381275258,-26858.031395155664,-0.41003912687301636,-26860.41368580644,-26860.402921258497,-26858.45219883048,-26858.441434282537
4.8,-26859.9864419596,-26859.97613731916,-26857.992433945044,-2.013963086864725,-1.9741785919440802,-1.1883155134104029,0.02728689716754862,-0.027286897167548674,1.3877787807814457e-17,-8.326672684688674e-17,0.9999999999999998,-1.0,0.14334411611501682,-26857.982129304604,-0.40844789147377014,-26860.394889851075,-26860.384585210635,-26858.40088183652,-26858.390577196078
4.9,-26859.970688028523,-26859.960864021505,-26857.94529954767,-2.0144811406333845,-1.9766935463223214,-1.1680213922024516,0.025672554302804046,-0.025672554302804074,-1.1102230246251565e-16,5.551115123125783e-17,1.0000000000000002,-1.0,0.14105825268561595,-26857.935475540653,-0.40703698992729187,-26860.37772501845,-26860.367901011432,-26858.3523365376,-26858.34251253058
5.0,-26859.956509268806,-26859.94693597452,-26857.90541751832,-2.012436536606426,-1.9761853889992074,-1.1443014988002358,0.02443101899218897,-0.02443101899218908,-1.8041124150158794e-16,-5.551115123125783e-17,1.0,-1.0,0.14012745960655298,-26857.895844224033,-0.40578562021255493,-26860.36229488902,-26860.352721594732,-26858.31120313853,-26858.301629844245
5.1,-26859.942404840345,-26859.932960596136,-26857.871545281472,-2.0084213015493333,-1.9736672097938548,-1.1184721596204834,0.02325033718687583,-0.023250337186875636,6.938893903907228e-17,-2.7755575615628914e-17,1.0,-1.0,0.13984885912212602,-26857.86210103726,-0.40467536449432373,-26860.34708020484,-26860.33763596063,-26858.276220645967,-26858.266776401753
5.2,-26859.927488104222,-26859.918102185457,-26857.853335184078,-2.0052846161754747,-1.9729747769231827,-1.095036132830275,0.02143751125988526,-0.0214375112598853,1.3877787807814457e-17,-2.7755575615628914e-17,1.0,-1.0,0.1395271687365728,-26857.843949265312,-0.40368977189064026,-26860.331177876113,-26860.321791957347,-26858.25702495597,-26858.247639037203
