scenario,adapter_radius_angstrom,internal_cutoff_angstrom,case,spacing_angstrom,energy_ev,electrostatic_energy_ev,first_region_charge_e
baseline_adapter6_internal6,6.0,6.0,total_charge,2.5,-26858.7949513119,-2.0638916620682135,0.21940136671230148
baseline_adapter6_internal6,6.0,6.0,total_charge,3.0,-26860.321696891406,-2.083741107792869,0.12503253307069678
baseline_adapter6_internal6,6.0,6.0,total_charge,3.5,-26860.335812137353,-2.0531776444772634,0.07077462125876502
baseline_adapter6_internal6,6.0,6.0,total_charge,4.0,-26860.166970682352,-2.0290844046201055,0.04442026244135808
baseline_adapter6_internal6,6.0,6.0,total_charge,4.5,-26860.041495028767,-2.014503210108489,0.03196633221303176
baseline_adapter6_internal6,6.0,6.0,total_charge,5.0,-26859.956509268806,-2.012436536606415,0.02443101899218833
baseline_adapter6_internal6,6.0,6.0,total_charge,5.5,-26859.88606923098,-1.98666811344461,0.015091869543232841
baseline_adapter6_internal6,6.0,6.0,total_charge,6.0,-26859.869001695006,-1.9779371966869326,0.012678579675331494
baseline_adapter6_internal6,6.0,6.0,total_charge,6.5,-26859.865647447037,-1.974582948719329,0.01267857967533112
baseline_adapter6_internal6,6.0,6.0,total_charge,7.0,-26859.863122719515,-1.9720582211966766,0.012678579675331397
baseline_adapter6_internal6,6.0,6.0,neutral_regional,2.5,-26858.654575086333,-1.8800081460730103,1.8041124150158794e-16
baseline_adapter6_internal6,6.0,6.0,neutral_regional,3.0,-26860.25785516129,-1.95406092544882,6.938893903907228e-17
baseline_adapter6_internal6,6.0,6.0,neutral_regional,3.5,-26860.30797520325,-1.9674457942075374,-9.71445146547012e-17
baseline_adapter6_internal6,6.0,6.0,neutral_regional,4.0,-26860.151487817853,-1.969984043070918,-2.0816681711721685e-16
baseline_adapter6_internal6,6.0,6.0,neutral_regional,4.5,-26860.029730253696,-1.9692787910957807,2.0816681711721685e-16
baseline_adapter6_internal6,6.0,6.0,neutral_regional,5.0,-26859.94693597452,-1.976185388999198,-5.551115123125783e-17
baseline_adapter6_internal6,6.0,6.0,neutral_regional,5.5,-26859.87266694209,-1.9634742285906224,2.0816681711721685e-16
baseline_adapter6_internal6,6.0,6.0,neutral_regional,6.0,-26859.844131293474,-1.958263614325169,4.163336342344337e-17
baseline_adapter6_internal6,6.0,6.0,neutral_regional,6.5,-26859.84050508439,-1.9546374052413613,-2.7755575615628914e-17
baseline_adapter6_internal6,6.0,6.0,neutral_regional,7.0,-26859.8377572438,-1.9518895646510475,-1.3877787807814457e-17
baseline_adapter6_internal6,6.0,6.0,ionic_regional,2.5,-26858.251447990424,-1.7697354124900266,1.0
baseline_adapter6_internal6,6.0,6.0,ionic_regional,3.0,-26859.3354307526,-1.6644310640033417,0.9999999999999999
baseline_adapter6_internal6,6.0,6.0,ionic_regional,3.5,-26858.93859602121,-1.528034958055237,0.9999999999999998
baseline_adapter6_internal6,6.0,6.0,ionic_regional,4.0,-26858.47178603642,-1.3869791225829535,1.0000000000000004
baseline_adapter6_internal6,6.0,6.0,ionic_regional,4.5,-26858.151557626952,-1.2543711204416474,1.0
baseline_adapter6_internal6,6.0,6.0,ionic_regional,5.0,-26857.90541751832,-1.1443014988002231,0.9999999999999998
baseline_adapter6_internal6,6.0,6.0,ionic_regional,5.5,-26858.153658676143,-1.0112011369409395,0.9999999999999999
baseline_adapter6_internal6,6.0,6.0,ionic_regional,6.0,-26859.059345008696,-0.8800367964546819,0.9999999999999999
baseline_adapter6_internal6,6.0,6.0,ionic_regional,6.5,-26858.956877978104,-0.7775697658595541,0.9999999999999999
baseline_adapter6_internal6,6.0,6.0,ionic_regional,7.0,-26858.86383540742,-0.684527195178744,0.9999999999999998
adapter10_internal6,10.0,6.0,total_charge,2.5,-26858.79495125531,-2.063891662068212,0.21940136671230132
adapter10_internal6,10.0,6.0,total_charge,3.0,-26860.321696834817,-2.0837411077928687,0.12503253307069678
adapter10_internal6,10.0,6.0,total_charge,3.5,-26860.33581208076,-2.0531776444772634,0.07077462125876505
adapter10_internal6,10.0,6.0,total_charge,4.0,-26860.166970625763,-2.0290844046201046,0.04442026244135813
adapter10_internal6,10.0,6.0,total_charge,4.5,-26860.041494972178,-2.014503210108489,0.031966332213031606
adapter10_internal6,10.0,6.0,total_charge,5.0,-26859.956509212217,-2.0124365366064128,0.024431018992187956
adapter10_internal6,10.0,6.0,total_charge,5.5,-26859.88606917439,-1.986668113444609,0.015091869543232758
