spacing_angstrom,unconstrained_energy_ev,constrained_energy_ev,ionic_constrained_energy_ev,unconstrained_electrostatic_energy_ev,constrained_electrostatic_energy_ev,ionic_constrained_electrostatic_energy_ev,unconstrained_first_region_charge_e,unconstrained_second_region_charge_e,constrained_first_region_charge_e,constrained_second_region_charge_e,ionic_constrained_first_region_charge_e,ionic_constrained_second_region_charge_e,electronic_coupling_ev,u1_energy_ev,cross_fragment_edges
2.5,-26858.7949513119,-26858.654575086333,-26858.251447990424,-2.063891662068212,-1.8800081460730076,-1.7697354124900257,0.21940136671230148,-0.21940136671230157,9.71445146547012e-17,0.0,1.0,-0.9999999999999999,0.27621539575231446,-26858.11107176486,416
2.6,-26859.379423769362,-26859.256349129504,-26858.755001847374,-2.0741417142968306,-1.9009548597396584,-1.7499624947884733,0.1979818028112596,-0.19798180281125954,0.0,-2.7755575615628914e-17,1.0,-1.0,0.27721923304126367,-26858.631927207516,416
2.7,-26859.784062278348,-26859.67797837421,-26859.073099924826,-2.0812765813157883,-1.9191244751061582,-1.730298253479566,0.17732995373421773,-0.1773299537342177,-5.551115123125783e-17,8.326672684688674e-17,1.0,-1.0000000000000002,0.27463004598362556,-26858.967016020688,408
2.8,-26860.05363224931,-26859.963288563024,-26859.252560755747,-2.085535732800708,-1.9344181530625,-1.7101661021623336,0.1581794552720292,-0.15817945527202926,1.3877787807814457e-17,-5.551115123125783e-17,0.9999999999999999,-1.0,0.2690199838438926,-26859.16221706946,408
2.9,-26860.223378583905,-26860.14718553615,-26859.32990984229,-2.086280253516271,-1.946025688533396,-1.6882859304198705,0.14074714607116814,-0.14074714607116814,-6.938893903907228e-17,0.0,0.9999999999999998,-1.0,0.2609139829500046,-26859.253716794534,400
3.0,-26860.321696891406,-26860.25785516129,-26859.3354307526,-2.0837411077928687,-1.954060925448818,-1.6644310640033417,0.12503253307069678,-0.1250325330706968,1.3877787807814457e-17,-8.326672684688674e-17,1.0000000000000002,-1.0,0.25092815038646454,-26859.27158902248,400
3.1,-26860.370848861257,-26860.31744870335,-26859.293789086914,-2.07860157610487,-1.9591224582581033,-1.6387635555535212,0.11096473513665238,-0.11096473513665231,-1.3877787807814457e-17,1.1102230246251565e-16,1.0,-1.0,0.2398231890901567,-26859.240388929007,400
3.2,-26860.387003895292,-26860.342278254626,-26859.222268392306,-2.0720224283085096,-1.9622285730350464,-1.6118831189500202,0.0985116483205121,-0.09851164832051218,-1.3877787807814457e-17,0.0,0.9999999999999999,-1.0,0.22824009634036865,-26859.17754275164,400
3.3,-26860.3816470904,-26860.34390054001,-26859.134029302597,-2.065263849377692,-1.9643766724302387,-1.5843242021411874,0.08775055573172516,-0.08775055573172486,-1.249000902703301e-16,5.551115123125783e-17,1.0000000000000002,-0.9999999999999999,0.21700983316931352,-26859.09628275221,392
3.4,-26860.362893171954,-26860.330663578923,-26859.037869188654,-2.0590323993988915,-1.9661262309208765,-1.5564110706072722,0.07860779719904867,-0.0786077971990487,-9.71445146547012e-17,0.0,0.9999999999999999,-1.0,0.20665184184510282,-26859.005639595624,384
3.5,-26860.335812137353,-26860.30797520325,-26858.93859602121,-2.053177644477265,-1.9674457942075374,-1.528034958055238,0.07077462125876523,-0.07077462125876499,-2.7755575615628914e-17,0.0,0.9999999999999999,-1.0,0.19721615794069772,-26858.910759087106,376
3.6,-26860.30346175512,-26860.27924567325,-26858.83778767142,-2.047513616928286,-1.9683141311112196,-1.4993617281405596,0.06394278853146886,-0.06394278853146884,5.551115123125783e-17,-5.551115123125783e-17,0.9999999999999999,-1.0,0.18839555092058555,-26858.813571589548,376
3.7,-26860.268648477184,-26860.247508125252,-26858.73683781657,-2.042465439929959,-1.9691965606047641,-1.4711891360722023,0.05795754213308753,-0.057957542133087514,4.163336342344337e-17,1.1102230246251565e-16,1.0000000000000002,-1.0,0.1799528173101254,-26858.715697464635,376
3.8,-26860.233511180613,-26860.214812788683,-26858.64118315133,-2.037560304159326,-1.9697206798078921,-1.4429946253520545,0.05266510521251255,-0.052665105212512775,1.942890293094024e-16,-8.326672684688674e-17,1.0000000000000004,-1.0,0.17255136502807503,-26858.6224847594,360
3.9,-26860.199349058963,-26860.182484907164,-26858.553098083514,-2.032965796197817,-1.9698834719326492,-1.414797511051704,0.048145437551215156,-0.048145437551215364,6.938893903907228e-17,-5.551115123125783e-17,0.9999999999999999,-1.0,0.16662120618293533,-26858.536233931714,344
4.0,-26860.166970682352,-26860.151487817853,-26858.47178603642,-2.0290844046201064,-1.9699840430709186,-1.3869791225829526,0.044420262441357966,-0.04442026244135794,1.1102230246251565e-16,-5.551115123125783e-17,1.0,-1.0,0.16200714235438834,-26858.456303171923,336
4.1,-26860.13679154974,-26860.12237060828,-26858.397114235628,-2.025580825519909,-1.969934788224606,-1.359427126507339,0.04124224252092301,-0.041242242520922984,-6.938893903907228e-17,5.551115123125783e-17,1.0,-1.0,0.1583912393665705,-26858.382693294167,328
4.2,-26860.10955622951,-26860.09591191476,-26858.330707286495,-2.0220896068906815,-1.9695159681927759,-1.331874801626849,0.03846589015175181,-0.03846589015175167,2.0816681711721685e-16,1.1102230246251565e-16,1.0,-1.0,0.1557920885992207,-26858.31706297175,320
4.3,-26860.084731271923,-26860.071703830494,-26858.269479512765,-2.0186059089524537,-1.9686983522705694,-1.3044819480603174,0.03608109158246087,-0.0360810915824607,4.163336342344337e-17,0.0,1.0,-1.0,0.15377934182585754,-26858.256452071335,320
4.4,-26860.06214679491,-26860.049674135746,-26858.21052040824,-2.0162642196260765,-1.96857414723646,-1.2785469568363668,0.03409460199499517,-0.034094601994995116,1.249000902703301e-16,0.0,1.0000000000000002,-0.9999999999999998,0.15196942067344074,-26858.198047749072,304
4.5,-26860.041495028767,-26860.029730253696,-26858.151557626952,-2.0145032101084897,-1.9692787910957767,-1.2543711204416472,0.03196633221303158,-0.031966332213031384,-1.3877787807814457e-17,2.7755575615628914e-17,1.0,-0.9999999999999998,0.1491130055674509,-26858.139792851885,280
4.6,-26860.021958503236,-26860.010843675176,-26858.093160962104,-2.013718541059062,-1.970555420276476,-1.2314769307177076,0.03018579953054941,-0.03018579953054934,-1.3877787807814457e-17,-1.1102230246251565e-16,1.0000000000000002,-0.9999999999999998,0.1464180761757214,-26858.082046134045,272
4.7,-26860.00364667957,-26859.992882131624,-26858.042159703607,-2.0137417944548157,-1.9720717388067834,-1.2093059243894042,0.028862165366762282,-0.02886216536676217,-9.71445146547012e-17,8.326672684688674e-17,0.9999999999999999,-1.0000000000000002,0.14530836381275258,-26858.031395155664,264
4.8,-26859.9864419596,-26859.97613731916,-26857.992433945044,-2.0139630868647154,-1.9741785919440733,-1.188315513410392,0.027286897167547633,-0.027286897167547564,8.326672684688674e-17,-5.551115123125783e-17,1.0,-0.9999999999999999,0.14334411611501682,-26857.982129304604,240
4.9,-26859.970688028523,-26859.960864021505,-26857.94529954767,-2.014481140633374,-1.9766935463223128,-1.1680213922024403,0.02567255430280288,-0.025672554302802852,2.7755575615628914e-16,5.551115123125783e-17,1.0,-0.9999999999999999,0.14105825268561595,-26857.935475540653,240
5.0,-26859.956509268806,-26859.94693597452,-26857.90541751832,-2.012436536606413,-1.9761853889991974,-1.1443014988002227,0.024431018992187692,-0.024431018992188136,-1.249000902703301e-16,2.7755575615628914e-17,0.9999999999999998,-0.9999999999999999,0.14012745960655298,-26857.895844224033,224
5.1,-26859.942404840345,-26859.932960596136,-26857.871545281472,-2.00842130154932,-1.9736672097938428,-1.1184721596204656,0.023250337186876316,-0.023250337186876358,1.942890293094024e-16,2.7755575615628914e-17,1.0000000000000002,-1.0,0.13984885912212602,-26857.86210103726,196
5.2,-26859.927488104222,-26859.918102185457,-26857.853335184078,-2.005284616175462,-1.9729747769231698,-1.0950361328302605,0.0214375112598838,-0.02143751125988369,1.3877787807814457e-17,0.0,1.0,-1.0,0.1395271687365728,-26857.843949265312,164
5.3,-26859.91315540864,-26859.90343623833,-26857.86530854615,-2.000853587218594,-1.971268390467664,-1.0707002826225342,0.01947139541212771,-0.019471395412127696,-2.3592239273284576e-16,4.163336342344337e-17,0.9999999999999998,-1.0,0.14107931253389328,-26857.85558937584,156
5.4,-26859.89847727121,-26859.888006412388,-26857.92532767924,-1.9932699976802886,-1.9669939060628028,-1.0424300578187824,0.01716768437143952,-0.01716768437143984,9.71445146547012e-17,-5.551115123125783e-17,1.0000000000000002,-1.0,0.14373785448842658,-26857.91485682042,156
5.5,-26859.88606923098,-26859.87266694209,-26858.153658676143,-1.9866681134446105,-1.9634742285906228,-1.0112011369409415,0.015091869543232828,-0.0150918695432328,-8.326672684688674e-17,-5.551115123125783e-17,1.0,-1.0,0.15237541379711164,-26858.140256387254,124
5.6,-26859.879526014014,-26859.86147295066,-26858.549356637806,-1.984621289670652,-1.9636809851958212,-0.9817343015191525,0.013605425692297765,-0.013605425692297612,8.326672684688674e-17,0.0,1.0,-1.0,0.1549633247636441,-26858.53130357445,108
5.7,-26859.87472043983,-26859.853158800954,-26858.87711151898,-1.983473342892053,-1.9638305159392853,-0.9545614618410433,0.012742218928937885,-0.01274221892893812,-5.551115123125783e-17,2.7755575615628914e-17,1.0,-1.0,0.14666316269807758,-26858.855549880107,88
5.8,-26859.871765354565,-26859.84775495348,-26859.04502442774,-1.981143237491428,-1.9615546445423802,-0.927105164169146,0.012691594646487447,-0.01269159464648767,-9.71445146547012e-17,-2.7755575615628914e-17,1.0,-1.0,0.14089138102100976,-26859.021014026657,52
5.9,-26859.86989299457,-26859.84514842588,-26859.077531240197,-1.9788506963171197,-1.9592508207596318,-0.902024264449552,0.01266940489357389,-0.012669404893573627,1.3877787807814457e-17,-2.7755575615628914e-17,1.0,-0.9999999999999999,0.1400237474830821,-26859.052786671506,28
6.0,-26859.869001695006,-26859.844131293474,-26859.059345008696,-1.9779371966869326,-1.9582636143251686,-0.8800367964546807,0.01267857967533155,-0.012678579675331453,-5.551115123125783e-17,-5.551115123125783e-17,0.9999999999999999,-1.0,0.1419030897890107,-26859.034474607164,0
6.1,-26859.868251315875,-26859.843322067914,-26859.038034796777,-1.977186817556825,-1.9574543887633071,-0.8587265845322187,0.012678579675331397,-0.012678579675331397,9.71445146547012e-17,-5.551115123125783e-17,0.9999999999999999,-1.0,0.14386338472761545,-26859.013105548816,0
6.2,-26859.867543198274,-26859.842557430893,-26859.01714422757,-1.9764786999533,-1.9566897517433897,-0.8378360153270168,0.012678579675331411,-0.012678579675331397,-1.3877787807814457e-17,-1.1102230246251565e-16,0.9999999999999999,-1.0,0.1457664943077354,-26858.99215846019,0
6.3,-26859.86687476225,-26859.841834700197,-26858.99666185654,-1.9758102639310269,-1.955967021049226,-0.8173536442989869,0.012678579675331397,-0.01267857967533148,-5.551115123125783e-17,2.7755575615628914e-17,0.9999999999999998,-0.9999999999999999,0.14761498961376043,-26858.971621794488,0
6.4,-26859.866243596596,-26859.84115136711,-26858.97657665273,-1.9751790982774535,-1.9552836879606024,-0.7972684404882374,0.012678579675331342,-0.012678579675331314,-1.6653345369377348e-16,5.551115123125783e-17,0.9999999999999999,-0.9999999999999999,0.1494112683924729,-26858.951484423247,0
6.5,-26859.865647447037,-26859.84050508439,-26858.956877978104,-1.9745829487193296,-1.9546374052413629,-0.7775697658595533,0.012678579675331245,-0.012678579675331259,-1.942890293094024e-16,2.7755575615628914e-17,1.0,-1.0,0.15115757192522436,-26858.931735615457,0
6.6,-26859.86508420534,-26859.83989365518,-26858.937555568365,-1.9740197070215477,-1.9540259760280476,-0.7582473561241753,0.01267857967533137,-0.012678579675331425,-1.5265566588595902e-16,2.7755575615628914e-17,1.0,-1.0,0.15285599973627137,-26858.91236501821,0
6.7,-26859.864551899223,-26859.83931502269,-26858.91859951514,-1.973487400902539,-1.9534473435432251,-0.7392913028960644,0.012678579675331467,-0.01267857967533148,8.326672684688674e-17,-5.551115123125783e-17,0.9999999999999998,-1.0,0.15450852249174163,-26858.893362638606,0
6.8,-26859.86404868302,-26859.838767260713,-26858.9000002493,-1.972984184697998,-1.9528995815653165,-0.7206920370567484,0.012678579675331439,-0.012678579675331397,2.220446049250313e-16,-1.3877787807814457e-16,0.9999999999999999,-1.0,0.15611699323301076,-26858.874718827,0
6.9,-26859.863572829032,-26859.83824856474,-26858.88174852546,-1.972508330711537,-1.9523808855933662,-0.7024403132173088,0.01267857967533137,-0.012678579675331397,2.3592239273284576e-16,-1.1102230246251565e-16,1.0,-1.0,0.1576831574718133,-26858.85642426117,0
7.0,-26859.863122719515,-26859.8377572438,-26858.86383540742,-1.9720582211966746,-1.951889564651046,-0.6845271951787417,0.012678579675331161,-0.01267857967533137,1.8041124150158794e-16,5.551115123125783e-17,1.0,-1.0,0.159208661970924,-26858.83846993171,0
7.1,-26859.86269683924,-26859.83729171283,-26858.846252254545,-1.9716323409198035,-1.9514240336793456,-0.666944042302958,0.0126785796753313,-0.012678579675331203,2.0816681711721685e-16,0.0,1.0,-1.0,0.1606950626560842,-26858.820847128136,0
7.2,-26859.86229376858,-26859.836850485623,-26858.82899070896,-1.9712292702583678,-1.9509828064719952,-0.6496824967162345,0.012678579675331189,-0.012678579675331064,-2.3592239273284576e-16,5.551115123125783e-17,0.9999999999999999,-1.0000000000000002,0.16214383160087742,-26858.803547426003,0
7.3,-26859.86191217711,-26859.83643216826,-26858.81204268352,-1.970847678792583,-1.9505644891117528,-0.6327344712754176,0.012678579675331203,-0.012678579675331286,-1.942890293094024e-16,-5.551115123125783e-17,1.0,-1.0,0.16355636334179685,-26858.78656267467,0
7.4,-26859.861550817674,-26859.83603545302,-26858.79540035048,-1.9704863193526645,-1.9501677738692684,-0.6160921382344408,0.012678579675331411,-0.012678579675331203,1.3877787807814457e-16,-2.7755575615628914e-17,0.9999999999999999,-1.0,0.16493398056950614,-26858.769884985828,0
7.5,-26859.861208520808,-26859.83565911268,-26858.7790561308,-1.9701440224868487,-1.9497914335295956,-0.5997479185552838,0.01267857967533137,-0.012678579675331397,-5.551115123125783e-17,-2.7755575615628914e-17,1.0,-1.0,0.16627793921468131,-26858.75350672267,0
7.6,-26859.86088418964,-26859.835301995263,-26858.763002684056,-1.9698196913183594,-1.9494343161142482,-0.5836944718130823,0.012678579675331383,-0.012678579675331259,-5.551115123125783e-17,-2.7755575615628914e-17,0.9999999999999998,-1.0000000000000002,0.16758943307137747,-26858.73742048968,0
